REGION,TECHNOLOGY,TIMESLICE,YEAR,VALUE
GLOBAL,PWRWONFJIXX01,S1D2,2037,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2038,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2039,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2040,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2041,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2042,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2043,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2044,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2045,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2046,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2047,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2048,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2049,0.215
GLOBAL,PWRWONFJIXX01,S1D2,2050,0.215
GLOBAL,PWRWONFJIXX01,S2D1,2020,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2021,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2022,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2023,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2024,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2025,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2026,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2027,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2028,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2029,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2030,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2031,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2032,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2033,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2034,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2035,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2036,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2037,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2038,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2039,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2040,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2041,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2042,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2043,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2044,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2045,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2046,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2047,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2048,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2049,0.3596
GLOBAL,PWRWONFJIXX01,S2D1,2050,0.3596
GLOBAL,PWRWONFJIXX01,S2D2,2020,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2021,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2022,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2023,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2024,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2025,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2026,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2027,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2028,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2029,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2030,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2031,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2032,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2033,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2034,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2035,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2036,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2037,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2038,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2039,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2040,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2041,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2042,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2043,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2044,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2045,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2046,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2047,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2048,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2049,0.3267
GLOBAL,PWRWONFJIXX01,S2D2,2050,0.3267
GLOBAL,PWRWOFFJIXX01,S1D1,2020,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2021,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2022,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2023,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2024,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2025,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2026,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2027,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2028,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2029,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2030,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2031,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2032,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2033,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2034,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2035,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2036,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2037,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2038,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2039,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2040,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2041,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2042,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2043,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2044,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2045,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2046,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2047,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2048,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2049,0.2322
GLOBAL,PWRWOFFJIXX01,S1D1,2050,0.2322
GLOBAL,PWRWOFFJIXX01,S1D2,2020,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2021,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2022,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2023,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2024,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2025,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2026,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2027,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2028,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2029,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2030,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2031,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2032,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2033,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2034,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2035,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2036,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2037,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2038,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2039,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2040,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2041,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2042,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2043,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2044,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2045,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2046,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2047,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2048,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2049,0.209
GLOBAL,PWRWOFFJIXX01,S1D2,2050,0.209
GLOBAL,PWRWOFFJIXX01,S2D1,2020,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2021,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2022,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2023,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2024,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2025,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2026,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2027,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2028,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2029,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2030,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2031,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2032,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2033,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2034,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2035,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2036,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2037,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2038,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2039,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2040,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2041,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2042,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2043,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2044,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2045,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2046,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2047,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2048,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2049,0.3339
GLOBAL,PWRWOFFJIXX01,S2D1,2050,0.3339
GLOBAL,PWRWOFFJIXX01,S2D2,2020,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2021,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2022,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2023,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2024,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2025,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2026,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2027,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2028,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2029,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2030,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2031,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2032,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2033,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2034,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2035,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2036,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2037,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2038,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2039,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2040,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2041,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2042,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2043,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2044,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2045,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2046,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2047,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2048,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2049,0.3096
GLOBAL,PWRWOFFJIXX01,S2D2,2050,0.3096
